"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","512","Закрытие всплывающего окна кликом по крестику","tests","Sun Dec 08 20:46:39 CET 2024","passed","Sun Dec 08 20:46:39 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","4842","Увеличение счётчика 'Выполнено за всё время' при создании нового заказа","tests","Sun Dec 08 20:47:24 CET 2024","passed","Sun Dec 08 20:47:28 CET 2024","TestOrderFeed","test_order_feed","",""
"","1661","Показать/Скрыть пароль делает поле активным","tests","Sun Dec 08 20:48:54 CET 2024","passed","Sun Dec 08 20:48:55 CET 2024","TestPasswordRecovery","test_recovery","",""
"","1864","Показать/Скрыть пароль делает поле активным","tests","Sun Dec 08 20:48:58 CET 2024","passed","Sun Dec 08 20:49:00 CET 2024","TestPasswordRecovery","test_recovery","",""
"","959","Открытие всплывающего окна при клике на заказ","tests","Sun Dec 08 20:47:03 CET 2024","passed","Sun Dec 08 20:47:04 CET 2024","TestOrderFeed","test_order_feed","",""
"","2867","Проверка перехода в раздел 'История заказов' с имеющейся историей","tests","Sun Dec 08 20:48:29 CET 2024","passed","Sun Dec 08 20:48:32 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","269","Переход по клику на «Конструктор»","tests","Sun Dec 08 20:45:51 CET 2024","passed","Sun Dec 08 20:45:51 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1777","Проверка перехода в личный кабинет","tests","Sun Dec 08 20:48:15 CET 2024","passed","Sun Dec 08 20:48:17 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","2296","Переход по клику на «Лента заказов» из личного кабинета","tests","Sun Dec 08 20:46:12 CET 2024","passed","Sun Dec 08 20:46:14 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","2221","Переход по клику на «Лента заказов» с главной страницы после авторизации","tests","Sun Dec 08 20:46:20 CET 2024","passed","Sun Dec 08 20:46:22 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","105","Переход по клику на «Конструктор»","tests","Sun Dec 08 20:45:48 CET 2024","passed","Sun Dec 08 20:45:48 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","741","Переход по клику на «Лента заказов» с главной страницы","tests","Sun Dec 08 20:46:28 CET 2024","passed","Sun Dec 08 20:46:28 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1521","Переход по клику на «Лента заказов» из личного кабинета","tests","Sun Dec 08 20:46:08 CET 2024","passed","Sun Dec 08 20:46:10 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1055","Авторизованный пользователь видит кнопку оформить заказ","tests","Sun Dec 08 20:46:57 CET 2024","passed","Sun Dec 08 20:46:58 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","514","Авторизованный пользователь видит кнопку оформить заказ","tests","Sun Dec 08 20:46:54 CET 2024","passed","Sun Dec 08 20:46:54 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","7000","Появление номера заказа в разделе 'В работе' после оформления заказа","tests","Sun Dec 08 20:48:02 CET 2024","passed","Sun Dec 08 20:48:09 CET 2024","TestOrderFeed","test_order_feed","",""
"","2017","Переход по клику на «Конструктор» из личного кабинета","tests","Sun Dec 08 20:46:04 CET 2024","passed","Sun Dec 08 20:46:06 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","170","Переход на страницу восстановления пароля","tests","Sun Dec 08 20:48:42 CET 2024","passed","Sun Dec 08 20:48:43 CET 2024","TestPasswordRecovery","test_recovery","",""
"","221","Ввод почты и клик по кнопке восстановления","tests","Sun Dec 08 20:48:48 CET 2024","passed","Sun Dec 08 20:48:48 CET 2024","TestPasswordRecovery","test_recovery","",""
"","4527","Увеличение счётчика 'Выполнено за сегодня' при создании нового заказа","tests","Sun Dec 08 20:47:39 CET 2024","passed","Sun Dec 08 20:47:44 CET 2024","TestOrderFeed","test_order_feed","",""
"","5918","Отображение заказов из 'Истории заказов' в 'Ленте заказов'","tests","Sun Dec 08 20:47:06 CET 2024","passed","Sun Dec 08 20:47:12 CET 2024","TestOrderFeed","test_order_feed","",""
"","6321","Появление номера заказа в разделе 'В работе' после оформления заказа","tests","Sun Dec 08 20:47:54 CET 2024","passed","Sun Dec 08 20:48:00 CET 2024","TestOrderFeed","test_order_feed","",""
"","1822","Авторизованный пользователь может оформить заказ","tests","Sun Dec 08 20:46:50 CET 2024","passed","Sun Dec 08 20:46:52 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","296","Проверка перехода в личный кабинет без авторизации","tests","Sun Dec 08 20:48:22 CET 2024","passed","Sun Dec 08 20:48:22 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","48","Увеличение счетчика ингредиента при добавлении в заказ","tests","Sun Dec 08 20:46:41 CET 2024","passed","Sun Dec 08 20:46:42 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","2162","Проверка перехода в раздел 'История заказов' с имеющейся историей","tests","Sun Dec 08 20:48:24 CET 2024","passed","Sun Dec 08 20:48:26 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","1024","Переход на «Конструктор» после авторизации","tests","Sun Dec 08 20:45:57 CET 2024","passed","Sun Dec 08 20:45:58 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","1414","Переход по клику на «Лента заказов» с главной страницы после авторизации","tests","Sun Dec 08 20:46:16 CET 2024","passed","Sun Dec 08 20:46:18 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","979","Проверка перехода в личный кабинет","tests","Sun Dec 08 20:48:12 CET 2024","passed","Sun Dec 08 20:48:13 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","79","Открытие всплывающего окна при клике на ингредиент","tests","Sun Dec 08 20:46:31 CET 2024","passed","Sun Dec 08 20:46:31 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","6740","Отображение заказов из 'Истории заказов' в 'Ленте заказов'","tests","Sun Dec 08 20:47:15 CET 2024","passed","Sun Dec 08 20:47:21 CET 2024","TestOrderFeed","test_order_feed","",""
"","2395","Проверка выхода из аккаунта","tests","Sun Dec 08 20:48:38 CET 2024","passed","Sun Dec 08 20:48:40 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","1551","Проверка выхода из аккаунта","tests","Sun Dec 08 20:48:34 CET 2024","passed","Sun Dec 08 20:48:35 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","1469","Переход по клику на «Конструктор» из личного кабинета","tests","Sun Dec 08 20:46:00 CET 2024","passed","Sun Dec 08 20:46:01 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","654","Закрытие всплывающего окна кликом по крестику","tests","Sun Dec 08 20:46:36 CET 2024","passed","Sun Dec 08 20:46:36 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","628","Переход по клику на «Лента заказов» с главной страницы","tests","Sun Dec 08 20:46:25 CET 2024","passed","Sun Dec 08 20:46:25 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","276","Открытие всплывающего окна при клике на ингредиент","tests","Sun Dec 08 20:46:33 CET 2024","passed","Sun Dec 08 20:46:33 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","97","Проверка перехода в личный кабинет без авторизации","tests","Sun Dec 08 20:48:19 CET 2024","passed","Sun Dec 08 20:48:19 CET 2024","TestPersonalAccount","test_personal_account_history_page","",""
"","5413","Увеличение счётчика 'Выполнено за сегодня' при создании нового заказа","tests","Sun Dec 08 20:47:46 CET 2024","passed","Sun Dec 08 20:47:51 CET 2024","TestOrderFeed","test_order_feed","",""
"","748","Переход на «Конструктор» после авторизации","tests","Sun Dec 08 20:45:53 CET 2024","passed","Sun Dec 08 20:45:54 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","669","Открытие всплывающего окна при клике на заказ","tests","Sun Dec 08 20:47:00 CET 2024","passed","Sun Dec 08 20:47:01 CET 2024","TestOrderFeed","test_order_feed","",""
"","751","Переход на страницу восстановления пароля","tests","Sun Dec 08 20:48:45 CET 2024","passed","Sun Dec 08 20:48:46 CET 2024","TestPasswordRecovery","test_recovery","",""
"","42","Увеличение счетчика ингредиента при добавлении в заказ","tests","Sun Dec 08 20:46:44 CET 2024","passed","Sun Dec 08 20:46:44 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","771","Ввод почты и клик по кнопке восстановления","tests","Sun Dec 08 20:48:51 CET 2024","passed","Sun Dec 08 20:48:51 CET 2024","TestPasswordRecovery","test_recovery","",""
"","1132","Авторизованный пользователь может оформить заказ","tests","Sun Dec 08 20:46:46 CET 2024","passed","Sun Dec 08 20:46:47 CET 2024","TestMainFunctionality","test_main_functionality","",""
"","6058","Увеличение счётчика 'Выполнено за всё время' при создании нового заказа","tests","Sun Dec 08 20:47:31 CET 2024","passed","Sun Dec 08 20:47:37 CET 2024","TestOrderFeed","test_order_feed","",""
